Country,Average Overall Score,Score with COVID-19 Data,% of Mobiles Infected with Malware,% of Users Attacked by Mobile Banking Trojans,% of Users Attacked by Mobile Ransomware Trojans,% Share of Users Attacked by Banking Malware,% of Users Attacked by Ransomware Trojans,% of Computers Infected with at Least One Malware Attack (Web-Based),% of Computers Facing at Least One Local Malware Attack,% of Mobile Users Attacked Via Web Sources,% of Telnet Attacks by Originating Country (IoT),% of Attacks by Cryptominers,% of SSH-Based Attacks by Originating Country (IoT),% of all Spam Emails by Originating Country (Yearly),% Share of Countries Targeted by Malicious Mailings (Yearly),% of Computers Attacked by Phishing (Yearly),GCI,Total Number of Covid 19 Related Malicious File Detections
Algeria,32.28059221,30.26539455,21.97,0,0.03,0.4,0.33,6.22,31.85,4.27,0.01,0.77,0.04,0.05,0.4,16.38,0.262,771
Argentina,17.45107717,16.39052952,6.59,0,0,0.4,0.18,2.87,16.24,1.41,0.71,0.48,0.8,1.01,0.39,12.72,0.407,9935
Armenia,17.04694896,15.98155106,2.16,0.06,0.01,0.6,0.26,4.95,23.71,0.05,0.04,1.06,0.02,0.08,0.1,10.34,0.495,12
Australia,14.39486231,13.55218067,2.45,0.1,0,0.2,0.07,5.18,6.72,2.03,0.3,0.23,0.5,0.19,0.66,16.59,0.89,18785
Austria,9.051290957,8.553311421,1.82,0.02,0,0.2,0.06,2.87,5.51,1.39,0.05,0.15,0.16,0.38,0.62,10.17,0.826,22321
Azerbaijan,17.40731425,16.31949972,3.13,0.03,0.01,0.6,0.28,4.89,27.85,0.22,0.03,1.31,0.01,0.08,0.14,10.89,0.653,47
Bangladesh,34.56505539,32.42206465,17.18,0.03,0.02,0.7,2.37,7.34,39.9,1.32,0.28,1.26,0.22,0.47,1.06,12.6,0.525,5710
Belarus,19.10310385,17.90924785,1.97,0.03,0,0.6,0.18,5.78,28.24,0.46,0.04,1.38,0.11,0.21,0.36,12.05,0.578,29
Belgium,13.44378723,12.75326352,2.85,0.02,0.01,0.2,0.05,4.39,5.85,1.98,0.08,0.2,0.13,0.25,0.28,16.4,0.814,49342
Bolivia,22.67157976,21.25480628,6.89,0.03,0.02,0.05,0.37,3,28,1.43,0.06,1.19,0.09,0.1,0.19,14.27,0.139,66
Brazil,28.38108994,27.56687984,4.77,0.04,0,0.3,0.14,4.73,17.29,2.96,7.66,0.94,4.44,3.26,3.33,19.94,0.577,316265
Bulgaria,14.467511,13.56420485,3.5,0.03,0.01,0.5,0.16,4.83,15.43,0.66,0.24,0.56,0.17,0.5,0.38,11.35,0.721,301
Canada,11.99201481,11.37344221,2.68,0.01,0.01,0.2,0.06,5.19,6.02,2.25,0.34,0.21,1.31,0.42,0.5,9.96,0.892,43151
Chile,16.99789172,15.96406004,5.24,0.02,0,0.4,0.14,4.19,11.7,1.32,0.18,0.35,0.34,0.4,0.43,14.83,0.47,9405
China,33.90414134,32.19516077,14.01,0.09,0.09,1.4,0.65,4.55,35.56,0.04,15.46,0.6,28.56,6.21,0.35,5.64,0.828,135136
Colombia,16.75211754,16.06907036,3.55,0.02,0,0.3,0.19,3.9,16.68,1.17,1.42,0.25,0.62,0.64,0.87,13.75,0.565,119953
